,cash
1344,85.0
1345,85.0
1346,85.0
1347,65.0
1348,45.0
1349,25.0
1350,170.0
1351,150.0
1352,140.0
1353,140.0
1354,120.0
1355,120.0
1356,255.0
1357,235.0
1358,235.0
1359,215.0
1360,295.0
1361,275.0
1362,265.0
1363,255.0
1364,235.0
1365,225.0
1366,205.0
1367,165.0
1368,145.0
1369,125.0
1370,100.0
1371,85.0
1372,85.0
1373,85.0
1374,45.0
1375,5.0
1376,5.0
1377,200.0
1378,190.0
1379,190.0
1380,190.0
1381,235.0
1382,205.0
1383,195.0
1384,195.0
1385,195.0
1386,195.0
1387,175.0
1388,165.0
1389,125.0
1390,125.0
1391,140.0
1392,120.0
1393,120.0
1394,100.0
1395,100.0
1396,80.0
1397,80.0
1398,80.0
1399,80.0
1400,60.0
1401,60.0
1402,60.0
1403,60.0
1404,50.0
1405,40.0
1406,40.0
1407,40.0
1408,100.0
1409,115.0
1410,95.0
1411,95.0
1412,95.0
1413,170.0
1414,150.0
1415,140.0
1416,140.0
1417,140.0
1418,140.0
1419,100.0
1420,100.0
1421,80.0
1422,80.0
1423,80.0
1424,135.0
1425,115.0
1426,115.0
1427,95.0
1428,315.0
1429,295.0
1430,295.0
1431,295.0
1432,295.0
1433,275.0
1434,275.0
1435,275.0
1436,275.0
1437,290.0
1438,280.0
1439,280.0
1440,280.0
1441,270.0
1442,270.0
1443,270.0
1444,250.0
1445,245.0
1446,240.0
1447,240.0
1448,230.0
1449,230.0
1450,230.0
1451,220.0
1452,220.0
1453,220.0
1454,220.0
1455,235.0
1456,225.0
1457,225.0
1458,225.0
1459,260.0
1460,250.0
1461,295.0
1462,285.0
1463,285.0
1464,265.0
1465,360.0
1466,350.0
1467,350.0
1468,330.0
1469,395.0
1470,395.0
1471,385.0
1472,365.0
1473,325.0
1474,320.0
1475,305.0
1476,305.0
1477,305.0
1478,390.0
1479,380.0
1480,380.0
1481,360.0
1482,360.0
1483,350.0
1484,340.0
1485,320.0
1486,415.0
1487,405.0
1488,405.0
1489,385.0
1490,200.0
1491,190.0
1492,190.0
1493,170.0
1494,160.0
1495,160.0
1496,120.0
1497,80.0
1498,80.0
1499,40.0
1500,200.0
1501,180.0
1502,170.0
1503,150.0
1504,150.0
1505,150.0
1506,130.0
1507,120.0
1508,120.0
1509,120.0
1510,100.0
1511,90.0
1512,50.0
1513,50.0
1514,30.0
1515,20.0
1516,20.0
1517,200.0
1518,180.0
1519,180.0
1520,180.0
1521,180.0
1522,160.0
1523,150.0
1524,150.0
1525,130.0
1526,130.0
1527,110.0
1528,110.0
1529,90.0
1530,80.0
1531,60.0
1532,290.0
1533,270.0
1534,270.0
1535,270.0
1536,230.0
1537,190.0
1538,170.0
1539,170.0
1540,160.0
1541,150.0
1542,130.0
1543,110.0
1544,100.0
1545,90.0
1546,80.0
1547,60.0
1548,225.0
1549,200.0
1550,190.0
1551,180.0
1552,160.0
1553,160.0
1554,140.0
1555,130.0
1556,110.0
1557,245.0
1558,215.0
1559,205.0
1560,195.0
1561,195.0
1562,165.0
1563,155.0
1564,145.0
1565,145.0
1566,125.0
1567,115.0
1568,95.0
1569,230.0
1570,210.0
1571,200.0
1572,180.0
1573,400.0
1574,380.0
1575,380.0
1576,360.0
1577,340.0
1578,340.0
1579,330.0
1580,320.0
1581,310.0
1582,290.0
1583,410.0
1584,395.0
1585,385.0
1586,365.0
1587,495.0
1588,465.0
1589,455.0
1590,445.0
1591,405.0
1592,365.0
1593,365.0
1594,345.0
1595,325.0
1596,305.0
1597,265.0
1598,305.0
1599,340.0
1600,355.0
1601,335.0
1602,325.0
1603,320.0
1604,315.0
1605,295.0
1606,285.0
1607,275.0
1608,255.0
1609,475.0
1610,490.0
1611,475.0
1612,525.0
1613,505.0
1614,485.0
1615,465.0
1616,425.0
1617,385.0
1618,385.0
1619,390.0
1620,380.0
1621,425.0
1622,200.0
1623,190.0
1624,235.0
1625,215.0
1626,205.0
1627,185.0
1628,325.0
1629,305.0
1630,285.0
1631,285.0
1632,265.0
1633,255.0
1634,235.0
1635,365.0
1636,345.0
1637,415.0
